Gene,P0,TBLC_P6,TBLC_P6_r1,TBLC_P6_r2,,
Gm1600,0.940438577,4.458549227,1.713143129,1.87923913,,
Secisbp2,49.6865048,35.66839382,51.82257966,51.99228259,,
Cacna1h,32.60187066,22.29274614,24.03159112,42.45153009,,
Cacna1i,0.626959051,1.630007244,1.475206584,1.011897993,,
Calhm6,1.567397628,1.150593349,1.903492366,0.674598662,,
Calhm1,0.104493175,0,0,0,,
Ctdspl2,133.6467711,98.51955551,81.99293367,101.2861705,,
Cacna1a,42.73770865,39.45576359,54.29711974,53.58240801,,
Cacna1b,10.60605728,12.08123016,16.08451049,22.4063127,,
Cacna1c,3.814000894,41.46930195,17.702479,8.866153843,,
Cacna1d,0.679205639,1.725890024,2.046254293,1.445568561,,
Cacna1e,0.20898635,0.671179454,0.475873091,0.722784281,,
Cacna1f,0.574712464,0,0.523460401,1.349197324,,
Cacna1g,6.94879615,118.1755252,36.16635495,43.31887122,,
Impad1,112.1734236,140.3244472,102.6458258,69.09817723,,
Cacna1s,1.567397628,36.96281134,10.13609685,5.396789296,,
Xrn1,224.0333676,108.299599,107.2142075,100.2742725,,
Xrn2,334.8483799,200.0114772,268.915884,333.9263377,,
Pde11a,0.470219288,0.671179454,0.57104771,0.770969899,,
Gm17689,0,0,0,0,,
9630028I04Rik,0.522465876,0.095882779,0.57104771,0,,
Dqx1,9.97909823,8.054153443,6.376699426,12.52826087,,
Dynlrb1,62.01669947,162.9048417,121.442813,111.6460786,,
Mir7228,0,0,0,0,,
Mir7229,0.417972701,0.143824169,0.095174618,0.38548495,,
Mir7222,0,0,0,0,,
Mir7223,0,0,0.095174618,0,,
Mir7220,0,0,0,0,,
Mir7221,0,0,0,0,,
Mir7226,0,0,0,0,,
Mir7227,0,0,0,0,,
Mir7224,0,0,0,0,,
Mir7225,0,0,0,0,,
Mir1298,0,0,0,0,,
1600015I10Rik,0,0.287648337,0.190349237,0,,
Cnot9,194.723032,126.3735028,220.9478764,167.0113545,,
Cnot8,127.324934,159.501003,141.4294828,194.621714,,
Gm10486,0,0,0,0,,
Gm10487,0,0,0,0,,
Cnot3,245.140989,104.0807567,204.2447309,169.1315217,,
Cnot2,150.5224189,128.8664551,136.2424661,121.3313879,,
Gm10488,0,0,0,0,,
Cnot7,74.13790779,71.0491393,86.3233788,72.32661369,,
Cnot6,121.6300559,115.0593349,130.8175129,78.63892974,,
Cnot4,58.77741104,44.48960949,58.57997756,44.33076922,,
Mir3107,0,0,0,0,,
Mir3106,0,0,0,0,,
Mir3105,0,0,0,0,,
Mir3104,0,0,0,0,,
Mir3103,0,0,0,0,,
Mir3102,0,0,0,0,,
Mir3101,0.574712464,0.335589727,0.666222328,0.337299331,,
Mir3100,0,0.191765558,0,0,,
Oscar,0.417972701,0.191765558,0.57104771,0.38548495,,
Mir3109,0.052246588,0.095882779,0,0,,
Mir3108,0,0,0,0,,
Sirpb1a,0,0.191765558,0.190349237,0,,
Sirpb1b,0,0.095882779,0.095174618,0,,
Sirpb1c,0,0.479413895,0.475873091,0,,
B930018H19Rik,0,0,0,0.289113712,,
Nfic,72.46601699,138.0232605,85.37163261,80.18086954,,
Nfib,35.21420004,48.42080344,31.83590982,31.94706521,,
Nfia,1.30616469,7.3350326,3.140762404,2.650209029,,
Mir877,0,0,0,0,,
Mir876,0,0,0,0,,
Mir875,0,0,0,0,,
Mir874,0,0,0,0,,
Mir879,0,0,0,0,,
Mir878,0,0,0,0,,
Cxcr3,0,0.095882779,0.190349237,0.289113712,,
Cxcr2,0.104493175,1.630007244,0.57104771,0.096371237,,
Cxcr1,0,0.191765558,0.190349237,0,,
Ttyh1,16.66666144,5.081787291,14.99000238,11.99821906,,
Ttyh2,49.42527186,42.57195391,43.1616894,75.31412205,,
Cxcr4,2.246603266,9.492395129,2.046254293,2.98750836,,
Cyp2j11,0,0.095882779,0.095174618,0,,
Cyp2j12,0,0,0,0,,
Nfix,10.13583799,67.64530064,32.40695753,20.81618728,,
Tnfrsf13b,2.298849854,0.958827791,2.331778148,1.445568561,,
Fbxl21,1.358411277,4.266783669,1.046920801,3.469364547,,
Fbxl22,0.20898635,0.383531116,0.57104771,0.481856187,,
5930412G12Rik,2.194356679,1.917655582,1.284857347,2.505652173,,
Dlc1,499.0071581,490.5362978,294.0419832,194.236229,,
Pkig,15.1515104,34.46985908,30.31311593,28.52588628,,
Pkia,2.455589617,11.55387488,3.854572041,2.650209029,,
Pkib,0.20898635,1.630007244,0.475873091,0.770969899,,
Arhgef25,112.4346565,86.10273562,107.594906,118.0547658,,
A930031H19Rik,0,0,0,0,,
Lnpep,82.39286863,171.438409,62.81524808,98.97326084,,
Gss,46.70844931,79.96623776,64.38562928,79.93994144,,
Gsr,163.1138465,104.0328153,140.1446254,115.9345986,,
Izumo1,1.410657865,0.431472506,0.666222328,1.49375418,,
Izumo2,0.731452226,0.095882779,0.666222328,0.819155518,,
Izumo3,0,0,0,0,,
Izumo4,5.329151934,8.821215676,8.37536641,12.81737458,,
Gsn,74.50363391,1053.224387,442.6095624,261.5515384,,
Wnt3,0,1.438241686,1.332444656,0.819155518,,
Wnt2,0.888191989,1.677948634,2.950413167,2.023795986,,
Wnt1,0,0.095882779,0,0,,
Wnt6,6.792056387,13.61535463,12.9913354,7.227842807,,
Wnt4,1.201671515,25.50481924,12.89616078,3.565735785,,
Syngap1,17.55485343,40.94194667,21.46187643,25.10470735,,
Fam219aos,3.918494069,11.88946461,6.900159827,6.553244145,,
Trpd52l3,0,0.095882779,0.190349237,0,,
Grhl1,16.71890803,8.869157065,13.22927194,7.661513375,,
Grhl2,46.55170954,20.99832862,60.43588262,29.15229932,,
Sod1,610.8671021,514.0275787,785.190601,826.1424328,,
1190005I06Rik,0,0.143824169,0.380698473,0.240928094,,
Defa6,0,0,0,0,,
Defa5,0,0,0,0,,
Defa4,0,0,0,0,,
Defa3,0.104493175,0,0.095174618,0,,
Defa2,0,0,0,0,,
Cyp4f41-ps,0.783698814,0,1.046920801,0.770969899,,
Hhatl,0,0.095882779,0.190349237,0.481856187,,
Tmprss9,0.679205639,0.191765558,0.475873091,0.38548495,,
Cyp4a12a,0,0,0.047587309,0,,
Cyp4a12b,0.522465876,2.684717814,1.09450811,0.096371237,,
Tmprss3,0.522465876,0.095882779,0.666222328,0.963712374,,
Tmprss4,0.104493175,0,0.523460401,0.481856187,,
Tmprss5,1.358411277,1.342358907,1.66555582,5.25223244,,
Tmprss6,0,1.438241686,0.57104771,2.746580267,,
Tmprss7,0,0.04794139,0.190349237,0.289113712,,
Trhr,0,0,0,0,,
4933427I22Rik,0,0,0,0,,
Tmed11,0,0,0,0,,
Tmed10,201.2016088,305.5304756,234.748196,253.6972825,,
Gm15217,1.044931752,0,0.380698473,0,,
Rrh,0.104493175,0,0,0,,
3110082I17Rik,37.25181695,24.59393283,72.61823376,47.36646319,,
Id4,2.925808905,19.65596971,6.804985208,3.951220734,,
Id2,7.1577825,61.94027529,40.49680009,31.46520902,,
Id3,27.01148579,353.3759823,138.1935458,67.65260867,,
Id1,61.80771312,338.4182688,199.2004761,76.4705769,,
Rrnad1,29.15359588,38.01752191,32.2641956,28.95955685,,
Tpd52,239.4461109,179.9719763,183.020791,266.0328009,,
Asgr1,0.313479526,1.150593349,0.475873091,0.674598662,,
Asgr2,2.403343029,2.205303919,1.475206584,1.927424749,,
Csn2,0,0,0,0,,
Csn3,0,0.527355285,0.190349237,0.096371237,,
Sorcs3,0,0.191765558,0.095174618,0.096371237,,
Trub1,67.71157752,38.35311163,61.86350189,60.95480767,,
Trub2,76.80248376,28.57306817,66.76499474,28.09221571,,
Ids,36.25913179,73.87768128,31.59797328,25.10470735,,
Zfp503,1.776383978,24.83363978,14.18101813,4.674005015,,
Zfp507,110.2925464,37.05869412,74.33137689,33.92267557,,
Ide,254.4931282,123.688785,240.1731493,189.6585953,,
Arpp21,0.417972701,0.239706948,0.142761927,0.096371237,,
Barhl2,0.313479526,0.575296675,0.095174618,0.38548495,,
Barhl1,0.20898635,0.671179454,0.190349237,0.530041806,,
Gsta4,417.554728,162.6171933,385.0765056,430.8276169,,
Gsta1,0,0.191765558,0.190349237,0.096371237,,
Gsta2,0.20898635,0.671179454,0.380698473,0,,
Gsta3,1.30616469,2.492952256,5.520127861,2.698394648,,
Lyl1,3.657261131,0.383531116,2.712476622,1.638311036,,
Med30,36.31137838,36.91486995,43.82791173,51.02857022,,
Med31,13.8975923,26.89511953,26.07784541,26.93576086,,
Slc52a3,68.80875586,18.45743497,32.2641956,40.76503343,,
Gcm1,0.365726113,0.671179454,0.285523855,0.096371237,,
Tmem28,9.665618705,6.567970367,14.65689122,4.770376253,,
Ccnyl1,44.46184604,39.21605665,56.72407251,33.92267557,,
Tat,0,0.143824169,0.095174618,0,,
1700018G05Rik,0,0,0,0.096371237,,
Upk2,2.61232938,0.479413895,3.33111164,3.903035116,,
Taz,41.01357126,43.0993092,42.49546707,61.91852005,,
Mir409,0,0,0.095174618,0,,
Aacs,40.17762586,36.57928022,66.24153434,53.10055182,,
Platr30,0.20898635,0,0.095174618,0,,
Olfr196,0,0,0,0,,
Olfr197,0,0,0,0,,
Olfr194,0,0,0,0,,
Olfr195,0,0,0,0,,
Olfr192,0,0,0,0,,
Olfr193,0.156739763,0,0,0.096371237,,
