gene,P0,P1,P2,P4,P5,P6,P7,P10,P15
Prkaa1,74.0856612061668,105.977336091761,112.25202269286,105.852340316542,129.427151208301,148.266009743102,150.397255191717,199.00478121167,109.790459752427
Prkaa2,45.1410516799211,38.9972781685973,46.7425348907962,69.1948931210927,39.6614138109051,24.6476632820828,22.4481435942471,27.2085633069063,33.9263666874567
Prkab1,52.8213000560188,108.775614067217,115.690687977843,94.020541798126,72.2887433170112,65.5280387257136,53.9179997441018,113.931174177679,83.8754527550265
Prkab2,39.602913395116,37.5683702662365,39.8069218583713,47.9610404228643,37.7135135418838,38.3287451038557,28.9756179727161,121.726465042468,30.5824948168244
Prkaca,113.584081426098,136.043939870603,130.494433442011,134.903631321581,152.47730439172,151.414830162399,164.885064178075,95.6422225333676,135.635802752522
Prkacb,116.039671042945,156.46541530851,136.847221849862,130.994912168175,184.61765883057,182.79445434091,178.417633011486,134.093993818334,124.559227181053
Prkag1,58.0459588152689,93.7720810924287,76.0586135068441,68.1384825390913,96.2587382941339,104.073943858486,94.409568449564,85.5233353531132,68.3403813560473
Prkag2,16.0397023908979,16.7301300234746,15.6196999385703,21.3394937564286,12.7695684302505,16.0698421398602,19.3701475458633,25.5595594701241,20.8295351941469
Prkag2os1,0,0.238151317060136,0.174847387372055,0,0,0.108580014458515,0,0,0.139327994609679
Prkag3,0.41797270074001,0.119075658530068,0.815954474402925,1.42615428570191,0.649300089673753,0.325740043375544,0.159206692157781,0.449728319122418,0.417983983829036
Prkar1a,288.296670335422,472.908977852166,417.418996119554,394.041147086528,595.408182230832,653.5431070258,661.609943710351,498.448887027347,446.615886721325
Prkar1b,11.4420026827578,24.5891234864591,22.9050077457393,31.0584711108416,71.6935515681436,89.8499619644209,88.2005074554106,11.6929362971829,53.9199339139456
Prkar2a,111.912190623138,150.392556723476,156.663259085362,147.052353014597,153.559471207843,183.174484391514,133.94589700208,147.960616991276,100.943132094712
Prkar2b,11.6509890331278,22.743450779243,22.5553129709951,40.1436021160538,71.6394432273374,58.7417878220565,92.1806747593551,40.5505034408714,85.0597407092088
Prkca,13.6363593616428,20.957315901292,19.2332126109261,18.9625699469254,34.088254707872,63.1392784076263,43.7287714460038,35.7534013702322,29.467870859947
Prkcb,19.905949872743,10.8358849262362,14.4540506894232,26.7271877246358,10.3888014347801,7.27486096872049,9.07478145299351,7.87024558464232,16.1620473747227
Prkcd,48.6415730486187,65.4320743622724,71.1046041979692,94.4959265600266,141.060444481623,132.250457610471,137.395375332165,169.022893270175,127.83343505438
Prkce,13.4796195988653,16.7301300234746,17.5430211996629,19.0682110051255,26.9459537214608,11.183741489227,18.89252746939,8.76970222288715,22.7801271186824
Prkcg,18.2340590697829,7.8589934629845,5.76996378327783,10.1415415872136,8.17035946172806,4.4517805927991,6.8989566601705,77.1284067294947,8.08102368736136
Prkch,1.77638397814504,3.81042107296218,8.97549921843218,25.1425718516337,21.6433363224584,16.2870021687772,10.2422971954839,10.8684343787918,16.7193593531614
Prkci,558.829500889394,754.641985934307,592.67436072881,388.23088888552,331.521804119257,211.188128121811,246.133546075929,302.067521010557,312.791347898728
Prkcq,0.104493175185003,0.0595378292650341,0.116564924914704,0.211282116400283,0.108216681612292,0,0.265344486929635,0.149909439707473,0.417983983829036
Prkcsh,269.435652214529,280.720864984636,276.841696672421,281.322137986977,318.589910666588,317.97657234176,284.608496680726,181.465376765896,292.65845267763
Prkcz,36.2068852016034,36.0799245346106,65.101510564862,60.7964289941815,31.8157043940139,16.5041621976942,15.4961180366907,12.6673476552814,35.110654641639
Prkd1,1.09717833944253,7.26361517033416,4.37118468430139,7.60615619041019,13.689410223955,13.2467617639388,10.0300216059402,13.4168948538188,17.0676793396856
Prkd2,21.8390736136655,35.3654705834302,39.8652043208286,48.7533483593653,51.4570321066449,33.334064438764,46.0638029309846,29.3072954628109,47.7895021511197
Prkd3,83.3333072100395,113.598178237685,94.5341541058246,112.666188570451,110.21869022212,100.653673403043,104.068107773803,96.1669055723437,93.9070683669233
